,Close
5836,1.49787
18839,1.50055
3652,1.507
25267,1.46936
6340,1.4937
1616,1.50052
18695,1.49968
7486,1.48213
5139,1.5056
17277,1.53891
7174,1.48494
15278,1.52605
11854,1.49029
22365,1.48427
25959,1.46116
1334,1.49208
18421,1.50946
19863,1.48525
20446,1.489
21835,1.48387
5714,1.49675
19831,1.48537
21355,1.48752
19260,1.48782
22012,1.48851
17148,1.53258
12050,1.50713
4556,1.50589
22376,1.48316
27678,1.47332
16181,1.52228
15482,1.52894
9375,1.49193
8064,1.4884
6812,1.48341
10868,1.49878
5194,1.5032100000000002
22675,1.48861
26518,1.45979
9928,1.49728
4309,1.51169
8267,1.4844
12958,1.5056699999999998
4028,1.50962
23270,1.48382
20532,1.48966
7712,1.4835
18703,1.50001
26952,1.46158
26891,1.46384
22692,1.4892
245,1.50807
19784,1.48623
5483,1.49937
5324,1.49915
10768,1.50051
10280,1.49598
23351,1.48033
9792,1.49552
12167,1.49714
308,1.50831
16328,1.52789
7653,1.48193
21322,1.48921
11710,1.49071
7779,1.48667
8019,1.48972
21933,1.48982
4953,1.51212
12381,1.50698
9918,1.49717
10597,1.5017
17511,1.53165
7481,1.4827
13781,1.5167199999999998
3105,1.49622
14198,1.53283
18387,1.51077
24476,1.46711
24136,1.47563
14421,1.52265
20986,1.48359
26052,1.45751
24455,1.46696
15199,1.52668
25570,1.45985
19031,1.49684
2405,1.50483
15655,1.52807
2577,1.49993
26669,1.4569
19304,1.485
15917,1.52143
1362,1.49065
4447,1.50711
6112,1.49514
18306,1.51308
9192,1.4883
23331,1.48129
14248,1.53257
6920,1.48456
17074,1.5200900000000002
12463,1.50326
16153,1.52423
19906,1.48447
8617,1.48582
22552,1.4849
2267,1.49753
3929,1.51438
7317,1.47846
11417,1.51686
22115,1.48322
1166,1.49606
6536,1.49241
21183,1.48629
11879,1.49049
19656,1.48513
26441,1.4595
19740,1.48285
12619,1.5127000000000002
27630,1.4648
20946,1.48268
1419,1.49646
7997,1.49016
27380,1.46028
9626,1.49717
9478,1.49302
10366,1.49463
6428,1.49497
12361,1.50404
6951,1.48502
14461,1.52467
21027,1.47928
14929,1.5188
3353,1.49742
19669,1.48551
23361,1.48061
8651,1.48786
17041,1.51842
18253,1.51847
17415,1.52996
16368,1.52425
21192,1.48539
15598,1.52833
8072,1.4881
24061,1.47832
21802,1.48427
11355,1.51152
21460,1.48167
7781,1.48629
23786,1.4793
9298,1.48915
7500,1.48181
6421,1.49508
16976,1.51894
9986,1.49088
25400,1.46394
4574,1.50664
1371,1.49112
9295,1.48943
11670,1.4928
14171,1.52887
7467,1.48145
656,1.5004
6660,1.49122
1205,1.49526
12518,1.50982
6677,1.49052
9073,1.49195
27463,1.46124
12029,1.49869
14833,1.52532
13023,1.5096
7858,1.48571
9044,1.48676
19548,1.48861
9872,1.49598
13360,1.51444
14644,1.52537
14013,1.52493
4290,1.51032
13963,1.52618
15778,1.52207
10061,1.48536
18005,1.51477
6453,1.49479
25869,1.45961
8013,1.48923
16857,1.5175999999999998
8842,1.48069
6195,1.49289
2927,1.49988
21611,1.4917
1870,1.49888
6839,1.48158
12898,1.50752
4591,1.51018
27013,1.46145
25533,1.45925
5625,1.49666
19929,1.48478
586,1.50364
1437,1.49974
13211,1.51137
24743,1.47782
15737,1.52346
3043,1.4992
10194,1.49228
18315,1.51353
20082,1.48694
16315,1.52527
21881,1.48462
17893,1.51851
21147,1.48448
16447,1.51845
8615,1.48676
13501,1.51048
15809,1.52296
6293,1.49309
12957,1.50569
19067,1.49744
12826,1.51138
18476,1.51012
22465,1.48376
18481,1.5102600000000002
1187,1.49687
21674,1.48911
12815,1.51261
6964,1.48596
19441,1.48597
27768,1.47805
11674,1.49215
27077,1.4637
9069,1.4897
24888,1.47251
27411,1.4596
22757,1.48933
11895,1.49219
27517,1.45963
8124,1.48639
27546,1.45992
25762,1.46346
23843,1.4789
19064,1.49718
27964,1.46945
12422,1.50367
19060,1.49624
15058,1.51883
18552,1.50847
13037,1.50917
14883,1.52303
7898,1.48688
18609,1.5084499999999998
1039,1.50176
2133,1.50232
12912,1.50537
14004,1.5246300000000002
27056,1.46126
3334,1.49828
21433,1.48018
8604,1.48498
21037,1.48073
8797,1.47953
27035,1.46195
826,1.50972
3008,1.50174
20455,1.49016
3717,1.50621
17962,1.51761
1144,1.49646
9842,1.49767
16046,1.52325
7682,1.48051
4630,1.5092
12769,1.51347
1158,1.49616
27430,1.46028
18084,1.5197
12223,1.49723
9378,1.49278
17897,1.51872
24516,1.47104
1302,1.49139
4915,1.51105
10826,1.50017
21695,1.48665
20226,1.49323
264,1.51084
1912,1.49854
25907,1.46213
3882,1.51773
25206,1.47084
